iter	Passed	Remaining
0	2	2992
1	5	2652
2	7	2519
3	9	2467
4	11	2373
5	14	2325
6	16	2310
7	18	2319
8	21	2328
9	23	2322
10	25	2323
11	27	2304
12	30	2312
13	32	2300
14	34	2293
15	37	2306
16	40	2332
17	43	2383
18	46	2410
19	49	2418
20	51	2408
21	54	2422
22	57	2424
23	59	2417
24	61	2400
25	64	2400
26	66	2395
27	68	2386
28	71	2381
29	73	2377
30	75	2367
31	78	2363
32	80	2359
33	82	2355
34	85	2347
35	87	2343
36	89	2334
37	91	2325
38	94	2317
39	96	2314
40	98	2309
41	101	2307
42	103	2302
43	105	2297
44	108	2294
45	110	2287
46	112	2287
47	115	2285
48	117	2279
49	119	2273
50	121	2267
51	124	2260
52	126	2254
53	128	2248
54	130	2243
55	132	2239
56	135	2236
57	137	2227
58	139	2221
59	141	2216
60	143	2214
61	146	2208
62	148	2205
63	150	2201
64	152	2195
65	154	2192
66	156	2184
67	158	2177
68	160	2171
69	162	2163
70	164	2154
71	166	2147
72	168	2140
73	170	2133
74	172	2126
75	174	2118
76	176	2112
77	178	2109
78	180	2105
79	182	2098
80	184	2092
81	186	2086
82	188	2079
83	190	2073
84	192	2068
85	194	2062
86	196	2059
87	198	2055
88	200	2049
89	202	2044
90	204	2038
91	205	2031
92	207	2027
93	209	2022
94	211	2018
95	213	2012
96	215	2007
97	217	2002
98	219	1998
99	221	1993
100	223	1988
101	225	1983
102	227	1978
103	229	1973
104	230	1968
105	232	1964
106	234	1959
107	236	1955
108	238	1950
109	240	1944
110	242	1940
111	244	1935
112	246	1930
113	247	1926
114	249	1923
115	251	1919
116	253	1914
117	255	1910
118	257	1905
119	259	1900
120	261	1896
121	262	1892
122	264	1889
123	266	1884
124	268	1880
125	270	1877
126	272	1872
127	274	1868
128	276	1866
129	278	1862
130	280	1859
131	282	1855
132	284	1851
133	286	1848
134	287	1844
135	289	1841
136	291	1837
137	293	1834
138	295	1830
139	297	1826
140	299	1822
141	301	1818
142	303	1816
143	304	1812
144	306	1809
145	308	1806
146	310	1802
147	312	1800
148	314	1797
149	316	1793
150	318	1790
151	320	1788
152	322	1785
153	324	1782
154	326	1779
155	328	1776
156	330	1773
157	332	1770
158	333	1766
159	335	1762
160	337	1759
161	339	1756
162	341	1754
163	343	1751
164	345	1749
165	347	1747
166	349	1744
167	351	1741
168	353	1738
169	355	1736
170	357	1733
171	359	1731
172	361	1728
173	363	1726
174	365	1724
175	367	1722
176	369	1720
177	372	1718
178	374	1716
179	376	1714
180	378	1711
181	380	1710
182	382	1708
183	384	1705
184	386	1703
185	388	1701
186	390	1698
187	392	1695
188	394	1692
189	396	1690
190	398	1687
191	400	1684
192	402	1682
193	404	1679
194	406	1676
195	407	1673
196	409	1670
197	411	1667
198	413	1665
199	415	1662
200	417	1659
201	419	1657
202	421	1655
203	423	1653
204	426	1652
205	428	1650
206	430	1648
207	432	1646
208	434	1644
209	436	1641
210	438	1639
211	440	1636
212	442	1634
213	444	1632
214	446	1629
215	448	1627
216	450	1624
217	452	1621
218	454	1619
219	455	1616
220	457	1613
221	459	1611
222	462	1610
223	464	1607
224	465	1604
225	467	1602
226	469	1600
227	471	1597
228	474	1595
229	475	1593
230	477	1591
231	480	1589
232	482	1587
233	484	1584
234	486	1582
235	487	1579
236	489	1577
237	492	1575
238	494	1573
239	496	1570
240	498	1569
241	500	1568
242	503	1567
243	505	1565
244	507	1564
245	510	1563
246	512	1561
247	514	1559
248	516	1558
249	519	1557
250	521	1555
251	523	1554
252	525	1553
253	528	1551
254	530	1550
255	532	1548
256	535	1546
257	537	1544
258	539	1543
259	541	1541
260	543	1539
261	545	1537
262	548	1536
263	550	1534
264	552	1533
265	555	1531
266	557	1529
267	559	1528
268	562	1527
269	564	1526
270	567	1525
271	569	1523
272	571	1521
273	573	1519
274	575	1518
275	578	1516
276	580	1514
277	582	1512
278	584	1511
279	586	1509
280	589	1507
281	591	1506
282	593	1504
283	595	1502
284	598	1500
285	600	1499
286	602	1497
287	605	1496
288	607	1494
289	609	1492
290	611	1490
291	614	1488
292	616	1486
293	618	1485
294	620	1483
295	623	1482
296	625	1481
297	628	1480
298	630	1478
299	633	1477
300	635	1476
301	638	1474
302	640	1472
303	642	1470
304	644	1468
305	646	1466
306	649	1465
307	651	1463
308	653	1461
309	655	1459
310	657	1457
311	659	1454
312	661	1452
313	663	1449
314	666	1448
315	668	1447
316	670	1445
317	673	1444
318	675	1442
319	678	1441
320	680	1439
321	682	1437
322	685	1435
323	687	1433
324	689	1432
325	691	1430
326	694	1428
327	696	1426
328	698	1424
329	700	1422
330	702	1420
331	705	1418
332	707	1416
333	709	1414
334	711	1413
335	714	1411
336	716	1409
337	718	1407
338	721	1406
339	723	1404
340	725	1402
341	727	1400
342	730	1398
343	732	1396
344	734	1394
345	736	1392
346	738	1390
347	740	1388
348	743	1387
349	746	1386
350	748	1384
351	751	1383
352	753	1381
353	756	1380
354	758	1378
355	763	1380
356	769	1386
357	775	1391
358	778	1390
359	781	1388
360	784	1387
361	786	1386
362	788	1384
363	790	1382
364	793	1379
365	795	1377
366	798	1376
367	800	1374
368	802	1372
369	805	1370
370	807	1368
371	812	1371
372	819	1376
373	824	1379
374	826	1377
375	829	1375
376	831	1373
377	834	1372
378	836	1371
379	839	1369
380	841	1367
381	844	1365
382	846	1363
383	849	1361
384	851	1359
385	853	1357
386	855	1354
387	858	1354
388	864	1358
389	870	1361
390	872	1358
391	874	1356
392	877	1354
393	879	1352
394	881	1350
395	883	1348
396	886	1346
397	888	1343
398	890	1341
399	893	1339
400	895	1337
401	897	1335
402	900	1333
403	902	1331
404	904	1329
405	908	1329
406	911	1327
407	913	1325
408	915	1323
409	918	1322
410	920	1319
411	923	1317
412	925	1315
413	927	1312
414	929	1310
415	931	1308
416	934	1305
417	936	1303
418	939	1302
419	941	1300
420	943	1298
421	946	1295
422	948	1293
423	950	1291
424	953	1289
425	955	1287
426	957	1284
427	959	1282
428	961	1280
429	963	1277
430	966	1275
431	968	1273
432	970	1271
433	972	1268
434	975	1266
435	976	1263
436	979	1261
437	980	1258
438	982	1255
439	984	1253
440	986	1250
441	988	1247
442	990	1245
443	992	1242
444	994	1240
445	996	1237
446	997	1234
447	999	1231
448	1002	1229
449	1003	1226
450	1005	1224
451	1007	1221
452	1009	1219
453	1011	1216
454	1013	1214
455	1015	1211
456	1017	1209
457	1019	1206
458	1021	1203
459	1023	1201
460	1025	1198
461	1027	1196
462	1029	1193
463	1030	1190
464	1032	1188
465	1034	1185
466	1036	1183
467	1038	1180
468	1040	1178
469	1042	1175
470	1044	1172
471	1046	1170
472	1048	1167
473	1049	1165
474	1051	1162
475	1053	1159
476	1055	1157
477	1057	1154
478	1059	1152
479	1061	1149
480	1063	1147
481	1065	1144
482	1067	1142
483	1069	1139
484	1071	1137
485	1073	1135
486	1075	1132
487	1077	1130
488	1078	1127
489	1080	1124
490	1082	1122
491	1084	1120
492	1087	1117
493	1089	1115
494	1091	1113
495	1093	1110
496	1095	1108
497	1097	1105
498	1098	1103
499	1100	1100
500	1102	1098
501	1104	1095
502	1106	1093
503	1108	1090
504	1110	1088
505	1112	1085
506	1114	1083
507	1115	1080
508	1117	1078
509	1119	1075
510	1121	1073
511	1123	1070
512	1125	1068
513	1127	1065
514	1129	1063
515	1131	1061
516	1133	1058
517	1134	1056
518	1136	1053
519	1138	1051
520	1140	1048
521	1142	1046
522	1144	1043
523	1146	1041
524	1148	1039
525	1150	1036
526	1152	1034
527	1154	1032
528	1156	1029
529	1158	1027
530	1160	1025
531	1162	1022
532	1164	1020
533	1166	1018
534	1168	1015
535	1170	1013
536	1172	1011
537	1174	1008
538	1176	1006
539	1178	1003
540	1180	1001
541	1182	999
542	1184	996
543	1186	994
544	1187	991
545	1189	989
546	1191	986
547	1193	984
548	1195	982
549	1197	979
550	1199	977
551	1201	974
552	1203	972
553	1205	970
554	1207	967
555	1209	965
556	1211	963
557	1213	961
558	1215	958
559	1217	956
560	1218	953
561	1220	951
562	1222	949
563	1225	947
564	1226	944
565	1228	942
566	1230	939
567	1232	937
568	1234	935
569	1236	932
570	1238	930
571	1240	928
572	1242	925
573	1244	923
574	1246	921
575	1247	918
576	1249	916
577	1251	913
578	1253	911
579	1255	909
580	1257	906
581	1259	904
582	1261	902
583	1263	899
584	1265	897
585	1266	894
586	1268	892
587	1270	890
588	1272	887
589	1274	885
590	1276	883
591	1278	880
592	1280	878
